SNo,City,Category,AQI_Value,Dominant_Pollutant,Stations,report_date,ingestion_timestamp
232,Thoothukudi,Satisfactory,77.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
233,Thrissur,Satisfactory,53.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
234,Tiruchirappalli,Moderate,101.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
235,Tirumala,Moderate,186.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
236,Tirunelveli,Good,42.0,"SO2",1/1,2025-11-28,2025-11-28 16:55:23.307601
237,Tirupati,Satisfactory,70.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
238,Tirupur,Moderate,128.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
239,Tonk,Poor,225.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
240,Tumidih,Moderate,118.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
241,Udaipur,Poor,205.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
242,Udupi,Satisfactory,93.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
243,Ulhasnagar,Moderate,152.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
244,Vapi,Satisfactory,84.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
245,Varanasi,Moderate,140.0,"PM, PM2.510",4/4,2025-11-28,2025-11-28 16:55:23.307601
246,Vatva,Moderate,131.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
247,Vijayawada,Moderate,155.0,"O, NO, PM3210",3/4,2025-11-28,2025-11-28 16:55:23.307601
248,Virar,Moderate,110.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
249,Virudhunagar,Moderate,101.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
250,Vrindavan,Moderate,142.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
251,Yadgir,Moderate,159.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
252,Yamuna Nagar,Moderate,171.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
